Country,UniqueCustomers,TotalRevenue,TotalOrders
Australia,9,138521.31,57
Austria,11,10198.68,17
Bahrain,2,548.4,2
Belgium,25,41196.34,98
Brazil,1,1143.6,1
Canada,4,3666.38,6
Channel Islands,9,20450.44,26
Cyprus,8,13590.38,16
Czech Republic,1,826.74,2
Denmark,9,18955.34,18
EIRE,3,265545.9,260
European Community,1,1300.25,4
Finland,12,22546.08,41
France,87,209024.05,389
Germany,94,228867.14,457
Greece,4,4760.52,5
Iceland,1,4310.0,7
Israel,3,7221.69,5
Italy,14,17483.24,38
Japan,8,37416.369999999995,19
Lebanon,1,1693.88,1
Lithuania,1,1661.06,4
Malta,2,2725.59,5
Netherlands,9,285446.34,94
Norway,10,36165.44,36
Poland,6,7334.65,19
Portugal,19,33439.89,57
RSA,1,1002.3100000000001,1
Saudi Arabia,1,145.92,1
Singapore,1,21279.29,7
Spain,30,61577.11,90
Sweden,8,38378.33,36
Switzerland,21,56443.95,51
USA,4,3580.39,5
United Arab Emirates,2,1902.28,3
United Kingdom,3920,7308391.5540000005,16646
Unspecified,4,2667.07,8
