CustomerID,Recency,Frequency,IsChurned_Rule
12346.0,326,1,1
12347.0,2,7,0
12348.0,75,4,0
12349.0,19,1,1
12350.0,310,1,1
12352.0,36,8,0
12353.0,204,1,1
12354.0,232,1,1
12355.0,214,1,1
12356.0,23,3,0
12357.0,33,1,1
12358.0,2,2,1
12359.0,58,4,0
12360.0,52,3,0
12361.0,287,1,1
12362.0,3,10,0
12363.0,110,2,1
12364.0,8,4,0
12365.0,291,2,1
12367.0,4,1,1
12370.0,51,4,0
12371.0,45,2,1
12372.0,72,3,0
12373.0,311,1,1
12374.0,25,1,1
12375.0,11,2,1
12377.0,315,2,1
12378.0,130,1,1
12379.0,82,2,1
12380.0,22,4,0
12381.0,5,5,0
12383.0,185,5,1
12384.0,29,2,1
12386.0,338,2,1
12388.0,16,6,0
12390.0,80,1,1
12391.0,22,1,1
12393.0,72,4,0
12394.0,64,2,1
12395.0,19,12,0
12397.0,36,2,1
12398.0,46,1,1
12399.0,119,4,1
12401.0,303,1,1
12402.0,323,1,1
12403.0,50,1,1
12405.0,149,1,1
12406.0,22,2,1
12407.0,50,5,0
12408.0,33,5,0
12409.0,79,3,0
12410.0,309,2,1
12412.0,75,3,0
12413.0,67,3,0
12414.0,217,3,1
12415.0,24,21,0
12417.0,3,9,0
12418.0,113,1,1
12420.0,64,1,1
12421.0,16,4,0
12422.0,96,3,1
12423.0,1,8,0
12424.0,163,2,1
12425.0,78,1,1
12426.0,195,1,1
12427.0,22,3,0
12428.0,26,9,0
12429.0,9,4,0
12430.0,43,1,1
12431.0,36,15,0
12432.0,43,5,0
12433.0,1,7,0
12434.0,85,2,1
12435.0,80,2,1
12436.0,100,1,1
12437.0,2,18,0
12438.0,14,2,1
12441.0,367,1,1
12442.0,3,1,1
12444.0,21,5,0
12445.0,22,1,1
12446.0,58,1,1
12447.0,243,1,1
12448.0,44,1,1
12449.0,22,4,0
12450.0,156,2,1
12451.0,11,5,0
12452.0,17,2,1
12453.0,134,1,1
12454.0,56,1,1
12455.0,73,6,0
12456.0,44,3,0
12457.0,66,7,0
12458.0,71,2,1
12461.0,94,2,1
12462.0,19,2,1
12463.0,53,4,0
12464.0,10,8,0
12465.0,17,2,1
12468.0,188,2,1
12471.0,2,30,0
12472.0,32,7,0
12473.0,29,5,0
12474.0,17,18,0
12475.0,54,1,1
12476.0,16,11,0
12477.0,23,6,0
12478.0,4,1,1
12479.0,11,1,1
12480.0,28,4,0
12481.0,23,10,0
12483.0,17,8,0
12484.0,33,6,0
12488.0,10,3,0
12489.0,336,1,1
12490.0,5,10,0
12491.0,39,1,1
12492.0,63,2,1
12493.0,166,2,1
12494.0,16,7,0
12497.0,82,1,1
12498.0,21,3,0
12500.0,23,11,0
12501.0,337,1,1
12502.0,96,5,1
12504.0,18,2,1
12506.0,233,1,1
