CustomerID,Monetary,Recency,Frequency
14646.0,280206.02,2,73
18102.0,259657.3,1,60
17450.0,194550.79,8,46
16446.0,168472.5,1,2
14911.0,143825.06,1,201
12415.0,124914.53,24,21
14156.0,117379.63,10,55
17511.0,91062.38,3,31
16029.0,81024.84,39,63
12346.0,77183.6,326,1
16684.0,66653.56,4,28
14096.0,65164.79,4,17
13694.0,65039.62,4,50
15311.0,60767.9,1,91
13089.0,58825.83,3,97
17949.0,58510.48,1,45
15769.0,56252.72,7,26
15061.0,54534.14,4,48
14298.0,51527.3,8,44
14088.0,50491.81,10,13
15749.0,44534.3,235,3
12931.0,42055.96,22,15
17841.0,40991.57,2,124
15098.0,39916.5,182,3
13798.0,37153.85,1,57
16013.0,37130.6,4,47
16422.0,34684.4,17,51
12748.0,33719.73,1,209
15838.0,33643.08,11,19
17404.0,31906.82,4,15
17389.0,31833.68,1,34
13098.0,28882.44,1,28
14680.0,28754.11,25,16
13081.0,28337.38,12,11
13408.0,28117.04,2,62
17857.0,26879.04,4,23
16333.0,26626.8,8,22
13777.0,25977.16,1,33
12753.0,21429.39,23,6
12744.0,21279.29,52,7
16210.0,21086.3,2,18
17675.0,20374.28,1,31
17381.0,20275.61,9,29
15039.0,19914.44,10,47
12471.0,19824.05,2,30
12731.0,18895.91,24,12
15159.0,18641.010000000002,2,30
12901.0,17654.54,9,28
12678.0,17628.46,42,12
14031.0,17286.86,7,19
