StockCode,Description,CustomersCount,TotalQuantity,TotalRevenue
10002,INFLATABLE POLITICAL GLOBE ,40,823,699.55
10080,GROOVY CACTUS INFLATABLE,19,291,114.41
10120,DOGGY RUBBER,25,193,40.53
10123C,HEARTS WRAPPING TAPE ,3,5,3.25
10124A,SPOTS ON RED BOOKCOVER TAPE,5,16,6.72
10124G,ARMY CAMO BOOKCOVER TAPE,4,17,7.14
10125,MINI FUNKY DESIGN TAPES,49,1226,930.3
10133,COLOURING PENCILS BROWN TUBE,101,2384,1143.6100000000001
10135,COLOURING PENCILS BROWN TUBE,92,1938,1786.69
11001,ASSTD DESIGN RACING CAR PEN,44,1252,1953.0
15030,FAN BLACK FRAME ,11,143,41.47
15034,PAPER POCKET TRAVELING FAN ,70,6419,697.0600000000001
15036,ASSORTED COLOURS SILK FAN,194,21876,16044.44
15039,SANDALWOOD FAN,58,1559,1133.15
15044A,PINK PAPER PARASOL ,53,428,1248.2800000000002
15044B,BLUE PAPER PARASOL ,36,307,865.6500000000001
15044C,PURPLE PAPER PARASOL,43,272,782.4000000000001
15044D,RED PAPER PARASOL,53,630,1735.74
15056BL,EDWARDIAN PARASOL BLACK,142,2779,15218.67
15056N,EDWARDIAN PARASOL NATURAL,184,3826,20696.71
