StockCode,Description,CustomersCount,TotalQuantity,TotalRevenue
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6
23166,MEDIUM CERAMIC TOP STORAGE JAR,138,77916,81416.73000000001
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,307,54415,13586.249999999998
85099B,JUMBO BAG RED RETROSPOT,635,46181,85220.78
85123A,WHITE HANGING HEART T-LIGHT HOLDER,856,36725,100448.15000000001
84879,ASSORTED COLOUR BIRD ORNAMENT,678,35362,56580.34
21212,PACK OF 72 RETROSPOT CAKE CASES,635,33693,16394.53
22197,POPCORN HOLDER,295,30931,23427.71
23084,RABBIT NIGHT LIGHT,450,27202,51346.2
22492,MINI PAINT SET VINTAGE ,213,26076,16039.240000000002
22616,PACK OF 12 LONDON TISSUES ,195,25345,7266.71
21977,PACK OF 60 PINK PAISLEY CAKE CASES,410,24264,11629.7
17003,BROCADE RING PURSE ,136,22963,5980.05
22178,VICTORIAN GLASS HANGING T-LIGHT,403,22433,28776.51
15036,ASSORTED COLOURS SILK FAN,194,21876,16044.44
21915,RED  HARMONICA IN BOX ,349,20975,23793.93
22386,JUMBO BAG PINK POLKADOT,372,20165,37289.590000000004
22197,SMALL POPCORN HOLDER,228,18252,13798.72
20725,LUNCH BAG RED RETROSPOT,532,17697,28048.45
84991,60 TEATIME FAIRY CAKE CASES,414,17689,8618.37
